E/RvCPT;EXPL;Ingles;Forma;es;gq;cu;do;pr;mx;gt;hn;sv;ni;cr;pa;co;ve;ec;pe;bo;cl;py;uy;ar
R;A126;Aparato para tender las ropas lavadas.;FRAME FOR DRYING CLOTHES;tendedera;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A126;Aparato para tender las ropas lavadas.;FRAME FOR DRYING CLOTHES;tendedero;+;+;-;+;+;+;+;+;+;+;-;+;+;+;-;-;+;+;+;+;+
R;A126;Aparato para tender las ropas lavadas.;FRAME FOR DRYING CLOTHES;tendedor;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A126;Aparato para tender las ropas lavadas.;FRAME FOR DRYING CLOTHES;tendedora;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;A127;Máquina para cortar césped.;LAWN MOWER;chapeadora;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-
R;A127;Máquina para cortar césped.;LAWN MOWER;cortacésped;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-
R;A127;Máquina para cortar césped.;LAWN MOWER;cortadora;-;-;+;-;+;+;-;-;+;+;+;-;-;-;-;-;+;+;-;+;+
R;A127;Máquina para cortar césped.;LAWN MOWER;cortagrama;-;-;-;+;+;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-
R;A127;Máquina para cortar césped.;LAWN MOWER;máquina de césped;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A127;Máquina para cortar césped.;LAWN MOWER;máquina de cortar césped;-;+;+;-;+;+;-;-;-;-;-;+;-;+;-;-;-;-;+;+;+
R;A127;Máquina para cortar césped.;LAWN MOWER;máquina de cortar grama;-;-;-;+;+;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;A127;Máquina para cortar césped.;LAWN MOWER;máquina de cortar pasto;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;+;-;+;+;+
R;A127;Máquina para cortar césped.;LAWN MOWER;máquina de cortar pastos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A127;Máquina para cortar césped.;LAWN MOWER;máquina para cortar césped;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+
R;A127;Máquina para cortar césped.;LAWN MOWER;podadora;-;-;+;-;+;+;+;+;+;+;-;-;+;-;+;+;+;-;-;-;-
R;A127;Máquina para cortar césped.;LAWN MOWER;segadora;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A127;Máquina para cortar césped.;LAWN MOWER;tijera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A131;Abertura hecha en la puerta para ver el exterior de la casa.;PEEPHOLE;mirador;-;+;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;+;+;-;-
R;A131;Abertura hecha en la puerta para ver el exterior de la casa.;PEEPHOLE;mirilla;+;+;+;-;+;+;-;-;+;-;-;+;-;-;+;+;-;-;-;+;+
R;A131;Abertura hecha en la puerta para ver el exterior de la casa.;PEEPHOLE;ojo;-;-;-;+;+;-;-;+;-;-;+;-;+;-;-;-;+;+;-;-;-
R;A131;Abertura hecha en la puerta para ver el exterior de la casa.;PEEPHOLE;ojo de gato;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-
R;A131;Abertura hecha en la puerta para ver el exterior de la casa.;PEEPHOLE;ojo de pescado;-;-;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-
R;A131;Abertura hecha en la puerta para ver el exterior de la casa.;PEEPHOLE;ojo mágico;-;-;+;+;+;-;-;-;-;+;-;-;+;+;+;-;-;-;-;-;-
R;A131;Abertura hecha en la puerta para ver el exterior de la casa.;PEEPHOLE;visor;-;+;-;-;+;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-
R;A134;Aparato que sirve para llamar con golpe a la puerta.;DOOR KNOCKER;aldaba;+;+;+;+;+;+; ;-;+;+;-;+;-;-;-;+;-;-;-;-;+
R;A134;Aparato que sirve para llamar con golpe a la puerta.;DOOR KNOCKER;argolla para golpear;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;-;+;-;-
R;A134;Aparato que sirve para llamar con golpe a la puerta.;DOOR KNOCKER;golpeador;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
R;A134;Aparato que sirve para llamar con golpe a la puerta.;DOOR KNOCKER;llamador;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;+;+
R;A134;Aparato que sirve para llamar con golpe a la puerta.;DOOR KNOCKER;manija;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A134;Aparato que sirve para llamar con golpe a la puerta.;DOOR KNOCKER;manilla;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-
R;A134;Aparato que sirve para llamar con golpe a la puerta.;DOOR KNOCKER;mano;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-
R;A134;Aparato que sirve para llamar con golpe a la puerta.;DOOR KNOCKER;picaporte;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-
R;A134;Aparato que sirve para llamar con golpe a la puerta.;DOOR KNOCKER;timbre;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A134b;Asidero del cual se tira para abrir o cerrar una puerta.;DOORKNOB;cerradura;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A134b;Asidero del cual se tira para abrir o cerrar una puerta.;DOORKNOB;chapa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-
R;A134b;Asidero del cual se tira para abrir o cerrar una puerta.;DOORKNOB;mango de la puerta;-;-;+;-;+;+;+;-;-;+;-;-;-;-;-;+;-;-;-;-;-
R;A134b;Asidero del cual se tira para abrir o cerrar una puerta.;DOORKNOB;manija;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;-;-;-;-;+
R;A134b;Asidero del cual se tira para abrir o cerrar una puerta.;DOORKNOB;manilla;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-
R;A134b;Asidero del cual se tira para abrir o cerrar una puerta.;DOORKNOB;perilla;-;-;-;-;+;+;+;+;+;-;-;+;-;+;-;-;+;-;-;-;-
R;A134b;Asidero del cual se tira para abrir o cerrar una puerta.;DOORKNOB;picaporte;+;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;+
R;A134b;Asidero del cual se tira para abrir o cerrar una puerta.;DOORKNOB;pomo;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A134b;Asidero del cual se tira para abrir o cerrar una puerta.;DOORKNOB;tirador;+;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);carricoche;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);carriola;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);carrito (de niño);+;+;-;+;+;-;-;-;-;+;-;-;-;-;-;+;-;-;+;+;+
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);carruaje de bebé;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);coche;-;-;+;+;+;-;-;+;-;+;+;+;+;+;+;+;-;-;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);coche de bebé;-;-;+;+;+;-;-;-;+;-;-;-;-;-;+;+;+;-;-;-;+
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);coche de guagua plegable;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);coche de niño;-;-;+;+;+;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);cochecito;-;-;+;+;+;-;-;+;-;+;-;+;-;+;+;+;-;-;-;-;+
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);cochecito de bebé;-;-;+;+;+;+;-;-;-;-;-;+;-;+;+;+;+;-;-;-;+
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);cochecito de niño;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);coche-cuna;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);porta-bebé ;-;-;-;-;-;+;-;-;-;-;-;-;+;+;-;-;-;+;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);silla de niño;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A135;Aparato que sirve para llevar un niño.;PUSHCHAIR (US:STROLLER);sillita;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;butaca;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;camastro;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;catre;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;cheilón;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;cheslon;-;-;-;-;+;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;hamaca;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;perezosa;-;-;-;-;-;-;-;-;+;+;-;+;+;-;-;+;-;-;+;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;playera;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;reposera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;silla de extensión;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;silla de playa;+;-;+;+;+;+;+;-;-;-;+;+;+;+;+;+;+;-;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;silla de sol;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;silla playera;-;+;-;+;-;+;-;-;+;+;-;+;-;+;+;-;+;-;-;+;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;silla plegable;+;+;+;+;+;-;+;-;+;+;+;-;+;+;-;+;+;-;+;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;silla plegadiza;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;silla reclinable;-;-;+;+;+;-;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-
R;A137;Silla de jardín o playa, extensible y articulada, que puede disponerse en forma de canapé.;DECKCHAIR;tumbona;+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave;+;+;+;+;+;+;+;+;-;+;-;+;+;+;+;+;+;-;+;+;+
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave ajustable;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave de boca;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;-;-;-
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave de tuercas;-;-;+;+;+;+;-;-;-;+;+;-;-;+;+;+;-;-;-;+;-
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave fija;+;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave francesa;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;-;+
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave inglesa;-;+;+;+;+;-;-;-;+;-;+;+;+;+;-;+;+;-;+;-;+
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave maestra;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave perica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);llave tirson;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);perico;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A140;Instrumento para apretar o aflojar las tuercas.;SPANNER (US:WRENCH);pico de cotorra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);llave;+;-;+;-;+;-;-;-;-;+;-;+;-;-;-;-;-;+;+;-;-
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);llave ajustable;-;-;+;-;+;-;+;+;-;-;-;-;-;+;-;-;-;-;-;-;+
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);llave de perro;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);llave de regulación;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);llave de tuercas;-;-;-;-;-;-; ;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);llave estilson ;-;-;+;+;-;+;+;+;+;+;-;-;-;-;-;+;-;-;-;-;-
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);llave francesa;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);llave inglesa;+;+;+;+;+;-;-;-;-;+;-;+;+;+;+;+;+;+;+;+;+
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);llave perica;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);perico;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A140b;Instrumento con un resorte que permite achicar o agrandar la distancia entre los vástagos que cogen la tuerca.;MONKEY SPANNER (US:MONKEY WRENCH);pico de loro;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-
R;A141;Vehículo destinado al transporte de personas.;CAR;auto;-;+;+;-;+;+;-;-;-;+;+;+;-;-;+;+;+;-;+;+;+
R;A141;Vehículo destinado al transporte de personas.;CAR;automóvil;-;-;+;+;+;+;-;-;-;+;-;+;+;+;+;+;-;-;+;-;+
R;A141;Vehículo destinado al transporte de personas.;CAR;carro;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;-;-
R;A141;Vehículo destinado al transporte de personas.;CAR;coche;+;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+
R;A141;Vehículo destinado al transporte de personas.;CAR;concho;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A141;Vehículo destinado al transporte de personas.;CAR;máquina;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A142;Pieza redonda manejada para orientar el movimiento de las ruedas.;STEERING WHEEL;dirección;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+
R;A142;Pieza redonda manejada para orientar el movimiento de las ruedas.;STEERING WHEEL;guía;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A142;Pieza redonda manejada para orientar el movimiento de las ruedas.;STEERING WHEEL;manivela;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-
R;A142;Pieza redonda manejada para orientar el movimiento de las ruedas.;STEERING WHEEL;manubrio;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-
R;A142;Pieza redonda manejada para orientar el movimiento de las ruedas.;STEERING WHEEL;timón;-;-;+;-;-;-;+;+;+;+;-;+;+;-;-;+;-;-;-;-;-
R;A142;Pieza redonda manejada para orientar el movimiento de las ruedas.;STEERING WHEEL;volante;+;+;+;+;+;+;-;-;+;+;+;+;-;+;+;+;+;-;+;+;+
R;A143;Placa visible con el número de registro oficial.;NUMBER PLATE (US:LICENSE PLATE);chapa;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+
R;A143;Placa visible con el número de registro oficial.;NUMBER PLATE (US:LICENSE PLATE);matrícula;+;+;+;-;+;-;-;-;+;-;-;-;-;-;-;+;-;-;-;+;-
R;A143;Placa visible con el número de registro oficial.;NUMBER PLATE (US:LICENSE PLATE);patente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A143;Placa visible con el número de registro oficial.;NUMBER PLATE (US:LICENSE PLATE);placa;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;-
R;A143;Placa visible con el número de registro oficial.;NUMBER PLATE (US:LICENSE PLATE);tablilla;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A144;Pieza para amortiguar los efectos de un choque.;BUMPER (US:FENDER);bomper;-;-;-;+;+;-;+;+;+;+;-;+;+;-;-;-;-;-;-;-;-
R;A144;Pieza para amortiguar los efectos de un choque.;BUMPER (US:FENDER);bumper [búmper];-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-
R;A144;Pieza para amortiguar los efectos de un choque.;BUMPER (US:FENDER);defensa;-;-;+;+;-;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-
R;A144;Pieza para amortiguar los efectos de un choque.;BUMPER (US:FENDER);defensas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A144;Pieza para amortiguar los efectos de un choque.;BUMPER (US:FENDER);guardabarros;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A144;Pieza para amortiguar los efectos de un choque.;BUMPER (US:FENDER);guardachoque;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-
R;A144;Pieza para amortiguar los efectos de un choque.;BUMPER (US:FENDER);parachoques;+;+;+;+;+;-;-;+;-;+;-;+;+;+;-;+;+;-;+;+;-
R;A144;Pieza para amortiguar los efectos de un choque.;BUMPER (US:FENDER);paragolpe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+
R;A144;Pieza para amortiguar los efectos de un choque.;BUMPER (US:FENDER);paragolpes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+
R;A145;Luces delanteras de un automóvil.;HEADLIGHT;farolas;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-
R;A145;Luces delanteras de un automóvil.;HEADLIGHT;faroles;-;-;+;-;+;-;+;-;-;+;-;-;-;-;-;-;+;-;-;+;-
R;A145;Luces delanteras de un automóvil.;HEADLIGHT;faros (delanteros);+;+;+;-;-;+;-;-;+;+;-;+;-;+;+;+;-;+;+;-;+
R;A145;Luces delanteras de un automóvil.;HEADLIGHT;faros de luz;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A145;Luces delanteras de un automóvil.;HEADLIGHT;focos (delanteros);-;-;+;+;+;+;-;+;-;+;-;+;-;+;+;-;-;-;-;-;+
R;A145;Luces delanteras de un automóvil.;HEADLIGHT;luces (delanteras);+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;-;+;+;+
R;A145;Luces delanteras de un automóvil.;HEADLIGHT;silbines;-;-;-;-;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;cristal (delantero);-;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;cristal de frente;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;luna;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;luneta;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;panorámico;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;parabrisa;-;+;+;+;+;+;-;-;-;+;-;+;-;+;-;+;-;+;+;+;+
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;parabrisas;+;-;+;+;+;+;-;-;+;+;+;+;-;+;+;+;+;-;+;+;+
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;vidrio (delantero);-;-;-;+;-;-;+;+;-;+;-;+;+;+;-;-;-;-;-;-;-
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;vidrio del parabrisas;-;-;+;+;-;+;-;-;-;-;-;+;-;+;+;-;+;-;+;+;-
R;A146;Cristal de la parte anterior del automóvil que defiende del viento a los pasajeros.;WINDSREEN;windshield;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A147;Tapa que cubre el mecanismo de un automóvil.;BONNET (US:HOOD);bonete;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A147;Tapa que cubre el mecanismo de un automóvil.;BONNET (US:HOOD);capó;+;+;+;-;-;-;+;+;+;-;-;-;+;+;+;+;+;-;+;+;+
R;A147;Tapa que cubre el mecanismo de un automóvil.;BONNET (US:HOOD);capota;-;-;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;+;-;-;-
R;A147;Tapa que cubre el mecanismo de un automóvil.;BONNET (US:HOOD);cofre;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A147;Tapa que cubre el mecanismo de un automóvil.;BONNET (US:HOOD);tapa (del motor);-;-;+;-;-;+;-;-;-;+;+;+;-;-;-;+;-;-;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;cuarto;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;direccional;-;-;+;+;+;+;-;-;-;-;+;+;+;-;+;+;-;-;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;foco;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;guiñador;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;guiñe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;intermitente;+;+;+;+;+;+;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;luz de cambio;-;-;+;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;luz de cruce;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;luz de giro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;luz de guiñe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;luz intermitente;-;-;+;+;+;-;-;-;-;-;-;+;-;-;-;+;-;+;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;pidevía;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-
R;A148;Luces que indican la dirección en que va un automóvil.;WINKER;señal;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
