E/RvCPT;EXPL;Ingles;Forma;es;gq;cu;do;pr;mx;gt;hn;sv;ni;cr;pa;co;ve;ec;pe;bo;cl;py;uy;ar
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;chomba;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;chompa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;enguatada;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;jersey;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;jersey [yérsi];-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;pulóver;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;saco;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;saco de lana;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;sudadera;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;suéter;+;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;-;+;+;+;+
R;A004;Prenda de vestir de tejido de punto, con mangas que cubre aproximadamente hasta la cintura.;SWEATER;tricota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-
R;A005;Chaqueta fuerte y cómoda que se lleva para hacer actividades fuera de casa.;WINDBREAKER;abrigo;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
